Category,Description,Data.Protein,Data.Fat.Total Lipid,Data.Fat.Polysaturated Fat,Data.Carbohydrate,Data.Fiber,Data.Water,Data.Vitamins.Vitamin A,Data.Major Minerals.Calcium,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,Data.Thiamin,Data.Riboflavin,Data.Niacin,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin B12,Data.Choline,Data.Vitamins.Vitamin C,Data.Major Minerals.Phosphorus,Data.Major Minerals.Magnesium,Data.Major Minerals.Sodium,Data.Major Minerals.Potassium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Zinc
Chicken or turkey and rice with soy-based sauce,Chicken or turkey and rice with soy-based sauce,11.96,9.22,3.11,8.11,0.5,69.47,6,20,0.98,19.4,0.075,0.099,3.472,0.168,0.15,29.5,2.3,119,18,395,186,0.064,0.74,0.85
Chicken or turkey with dumplings,Chicken or turkey with dumplings,15.64,5.49,1.057,7.95,0.3,69.39,10,50,0.34,1,0.103,0.152,4.593,0.141,0.23,37.9,0,157,16,488,173,0.051,0.9,0.97
Chicken or turkey with stuffing,Chicken or turkey with stuffing,20.04,4.88,0.752,11.74,0.5,61.95,6,25,0.34,0.2,0.14,0.187,6.092,0.193,0.25,47.7,0,184,22,454,229,0.082,1.09,1.25
Chicken or turkey cake,"Chicken or turkey cake, patty, or croquette",20.85,18.7,7.801,2.56,0.2,56.29,23,23,1.34,23.7,0.076,0.185,5.587,0.202,0.36,76.2,0.3,197,20,576,228,0.065,0.86,1.34
Chicken or turkey souffle,Chicken or turkey souffle,11.74,11.04,1.009,5.5,0.1,70.22,121,76,0.57,0.7,0.071,0.24,2.117,0.124,0.42,86.4,0,161,15,393,178,0.041,0.84,0.95
Meat loaf made with chicken or turkey,Meat loaf made with chicken or turkey,18.78,7.24,2.074,8.06,0.6,64.46,31,70,0.2,0.5,0.117,0.22,5.727,0.4,0.85,53.4,3.5,198,25,450,247,0.118,1.52,2.12
Meat loaf made with chicken or turkey,"Meat loaf made with chicken or turkey, with tomato-based sauce",15.47,6.16,1.71,7.29,0.8,69.54,37,57,0.5,1.1,0.099,0.183,4.888,0.352,0.72,45.2,4.3,165,24,452,268,0.12,1.42,1.77
Clams,"Clams, stuffed",11.87,11.08,3.32,12.94,0.9,61.35,154,46,1.57,12.2,0.118,0.143,1.485,0.054,6.78,49.8,1.4,155,20,529,130,0.118,1.74,0.59
Codfish ball or cake,Codfish ball or cake,14.32,9.85,3.128,10.57,1.2,63.76,46,31,1.36,8.4,0.111,0.135,2.108,0.206,0.67,69.5,0.5,124,31,369,294,0.036,0.72,0.58
Crab cake,Crab cake,14.57,14.75,7.345,2.58,0.2,66.39,18,78,2.37,24,0.042,0.122,2.142,0.138,2.48,87,2.6,196,29,416,215,0.602,0.7,2.92
Fish cake or patty,"Fish cake or patty, NS as to fish",13.93,13.06,3.26,10.31,1.1,61.42,45,33,1.21,6.3,0.109,0.132,2.052,0.201,0.65,68.5,0.5,183,30,282,432,0.035,0.7,0.57
Gefilte fish,Gefilte fish,17.52,3.8,1.165,1.03,0.1,75.68,25,42,0.29,0.2,0.085,0.097,1.93,0.157,1.19,72.1,1.4,228,26,275,235,0.059,0.63,0.9
Salmon cake or patty,Salmon cake or patty,17.12,18.16,8.247,2.58,0.2,60,30,191,2.2,23.9,0.04,0.17,5.188,0.299,3.25,90,0.3,282,24,413,244,0.091,0.85,0.91
Salmon loaf,Salmon loaf,15.82,9.91,2.756,9.11,0.4,62.84,99,196,1.09,17.1,0.093,0.255,4.42,0.22,2.22,100.4,1.9,271,27,669,286,0.074,1.25,0.92
Scallops and noodles with cheese sauce,Scallops and noodles with cheese sauce,8.46,5.64,0.729,15.05,0.6,69.26,28,101,0.11,0.3,0.16,0.145,1.262,0.053,0.47,31,0.2,171,22,313,109,0.061,0.93,0.94
Shrimp and noodles,"Shrimp and noodles, no sauce",7.3,5.5,2.053,16.43,0.8,69.65,21,26,0.98,4.6,0.192,0.092,1.848,0.076,0.38,42.6,0,108,21,144,57,0.114,1.01,0.73
Shrimp and noodles with gravy,Shrimp and noodles with gravy,6.02,5.18,1.758,14.7,0.6,73.03,17,23,0.81,3.9,0.16,0.089,1.558,0.068,0.3,35,0,92,17,178,58,0.096,0.83,0.61
Shrimp and noodles with mushroom sauce,Shrimp and noodles with mushroom sauce,6.31,5.23,2.128,15.05,0.8,72.19,23,35,0.82,8.5,0.156,0.088,1.526,0.069,0.34,37.2,0,99,18,226,78,0.093,0.82,0.63
Shrimp and noodles with cream or white sauce,Shrimp and noodles with cream or white sauce,7.13,5.25,1.141,16.25,0.7,70.15,59,59,0.83,2.5,0.183,0.125,1.637,0.116,0.44,40.1,0,120,21,164,95,0.095,0.91,0.74
Shrimp and noodles with soy-based sauce,Shrimp and noodles with soy-based sauce,10.21,7.25,2.931,8.26,0.6,72.46,38,52,1.67,19.2,0.03,0.03,1.395,0.148,0.66,56.8,2.3,143,21,276,144,0.138,0.4,0.8
Shrimp and noodles with cheese sauce,Shrimp and noodles with cheese sauce,8.18,5.37,0.729,13.45,0.6,71.65,38,106,0.41,0.3,0.151,0.134,1.397,0.068,0.37,32.3,0.2,142,20,192,81,0.089,0.83,0.88
Shrimp and noodles with tomato sauce,Shrimp and noodles with tomato sauce,6.46,5.22,1.969,15.39,1.1,71.66,25,25,1.34,5.4,0.167,0.097,1.857,0.095,0.31,38.6,2.2,98,22,172,143,0.131,1.15,0.68
Tuna loaf,Tuna loaf,21.08,11.86,3.612,9.32,0.4,55.32,104,80,1.23,41.9,0.101,0.22,7.332,0.115,1.39,68,2,221,24,338,185,0.067,1.53,0.9
Tuna cake or patty,Tuna cake or patty,15.34,14.88,7.335,2.63,0.2,65.74,28,25,1.28,23.9,0.051,0.112,7.281,0.232,1.75,50,0.3,126,19,373,155,0.054,1.54,0.66
Clam cake or patty,Clam cake or patty,19.04,15.31,7.362,6.77,0.2,55.75,118,59,1.85,24,0.047,0.101,0.583,0.037,11.38,105.5,0.3,261,26,410,477,0.081,2.25,0.79
Oyster fritter,Oyster fritter,6.93,16.22,7.809,5.22,0.2,69.57,80,45,1.68,24.3,0.125,0.173,1.056,0.086,11.99,88.8,3.1,129,42,420,193,3.28,5.24,66.7
Flounder with crab stuffing,Flounder with crab stuffing,15.08,5.49,1.523,5.72,0.3,71.66,49,65,1.27,14.5,0.068,0.082,1.797,0.123,1.51,80.4,1.8,271,26,431,210,0.195,0.72,1.18
Lobster with bread stuffing,"Lobster with bread stuffing, baked",14.98,8.16,0.855,9.83,0.5,64.61,59,110,0.93,0.6,0.095,0.057,2.031,0.097,1,60,0.2,152,35,656,187,1.089,0.86,2.96
Clams Casino,Clams Casino,8.73,4.72,1.276,9.83,1.2,74.84,69,43,0.74,9.6,0.097,0.072,1.069,0.103,4.42,35.1,14.7,101,18,326,159,0.068,1.19,0.49
Mackerel cake or patty,Mackerel cake or patty,16.54,17.63,4.427,10.76,1.2,53.34,108,171,1.5,6.9,0.095,0.227,4.574,0.19,3.35,78,0.5,236,32,410,287,0.107,1.72,0.91
Haddock cake or patty,Haddock cake or patty,13.93,13.06,3.26,10.31,1.1,61.42,45,33,1.21,6.3,0.109,0.132,2.052,0.201,0.65,68.5,0.5,183,30,282,432,0.035,0.7,0.57
Shrimp cake or patty,Shrimp cake or patty,18.1,15.45,7.589,3.67,0.2,60.62,82,78,2.63,24.1,0.055,0.074,2.112,0.2,1.29,126.2,0.3,247,30,182,151,0.204,0.57,1.36
Shrimp with crab stuffing,Shrimp with crab stuffing,16.39,8.94,2.525,6.09,0.3,66.25,65,79,2.08,5.6,0.08,0.132,2.473,0.167,2.12,101.7,1.7,245,30,539,198,0.478,0.87,2.4
Shrimp toast,"Shrimp toast, fried",8.45,15.48,6.365,11.73,0.8,62.02,31,59,2.47,30.8,0.079,0.074,1.523,0.102,0.43,41.2,2.6,134,18,596,134,0.123,0.77,0.64
Seafood restructured,Seafood restructured,7.62,0.46,0.143,15,0.5,74.66,0,13,0.17,0.4,0.03,0.08,0.62,0.13,0.57,13,0,282,43,529,90,0.032,0.39,0.33
Seafood souffle,Seafood souffle,9.91,9.73,0.876,5.49,0.1,73.17,121,92,0.73,0.7,0.058,0.212,1.372,0.103,0.87,85.4,0.6,147,16,435,150,0.114,0.98,1.06
Tuna noodle casserole with cream or white sauce,Tuna noodle casserole with cream or white sauce,10.12,7.18,0.972,15.4,0.7,66.05,76,65,0.59,2.4,0.182,0.153,4.589,0.194,1.09,26,0,119,22,255,141,0.066,1.41,0.68
Tuna noodle casserole with mushroom sauce,Tuna noodle casserole with mushroom sauce,9.02,5.13,1.283,13.92,0.8,70.64,33,38,0.37,6.3,0.141,0.108,4.266,0.133,0.92,22.9,0,95,18,331,116,0.065,1.29,0.57
Tuna and rice with mushroom sauce,Tuna and rice with mushroom sauce,4.57,5.16,2.218,15.39,0.4,73.78,8,22,0.59,9.3,0.088,0.035,2.167,0.097,0.41,9.4,0,55,11,298,73,0.045,0.84,0.39
Fish and rice with tomato-based sauce,Fish and rice with tomato-based sauce,5.41,5.12,2.078,16.53,0.7,71.68,9,12,1.16,6.5,0.107,0.04,1.489,0.125,0.17,17.5,2.4,53,18,310,151,0.078,1.02,0.42
Fish and rice with cream sauce,Fish and rice with cream sauce,5.53,4.92,1.239,15.75,0.2,72.6,40,41,0.62,3.6,0.113,0.062,1.162,0.132,0.27,17.6,0.2,69,15,308,94,0.042,0.71,0.44
Fish and rice with mushroom sauce,Fish and rice with mushroom sauce,5.34,5.15,2.229,16.12,0.4,72.28,8,23,0.66,9.5,0.101,0.036,1.193,0.096,0.21,17.8,0.2,58,14,307,86,0.045,0.71,0.4
Fish and noodles with mushroom sauce,Fish and noodles with mushroom sauce,6.3,5.1,2.079,14.79,0.8,72.66,11,24,0.61,8.4,0.164,0.096,1.498,0.074,0.25,29.5,0.2,75,19,312,89,0.06,0.85,0.48
Shellfish and noodles with tomato-based sauce,Shellfish and noodles with tomato-based sauce,6.58,5.04,1.881,15.74,1.1,71.15,29,23,1.24,5.2,0.167,0.101,1.688,0.077,1.67,36.4,2.2,100,22,239,179,0.117,1.34,0.62
Stewed salmon,"Stewed salmon, Puerto Rican style",12.02,7.02,2.294,8.47,1.3,70.61,12,131,1.1,5.4,0.043,0.124,3.955,0.279,2.33,56,7.2,215,29,448,401,0.112,0.84,0.58
Meat loaf,"Meat loaf, NS as to type of meat",17.5,10.98,0.619,7.19,0.4,62.48,21,65,0.17,1.1,0.083,0.182,3.742,0.277,1.65,66.7,0.6,170,20,419,274,0.072,2.05,3.82
Meatballs,"Meatballs, with breading, NS as to type of meat, with gravy",12.22,7.5,0.406,6.28,0.4,72.26,8,42,0.11,0.7,0.062,0.131,2.557,0.173,1.05,43.3,0.4,116,13,501,200,0.084,1.54,2.74
Meat loaf made with beef and pork,Meat loaf made with beef and pork,17.28,10.44,0.728,7.17,0.4,63.35,21,64,0.19,0.9,0.168,0.209,3.518,0.261,1.37,67,0.7,170,19,416,269,0.077,1.87,3.5
Meat loaf made with beef,"Meat loaf made with beef, veal and pork",17.28,10.44,0.728,7.17,0.4,63.35,21,64,0.19,0.9,0.176,0.211,3.569,0.262,1.37,67.1,0.7,170,19,416,269,0.077,1.87,3.5
Meat loaf made with beef and pork,"Meat loaf made with beef and pork, with tomato-based sauce",13.64,8.14,0.591,6.75,0.7,69.69,21,52,0.47,1.3,0.135,0.176,2.945,0.224,1.06,54.1,2.1,137,18,429,275,0.086,1.66,2.76
Hash,"Hash, NS as to type of meat",8.73,10.24,0.3,9.27,1.1,70.32,0,19,0.04,1.8,0.069,0.05,1.572,0.231,0.41,15.6,0.9,56,13,412,172,0,1,1.4
Vienna sausages stewed with potatoes,"Vienna sausages stewed with potatoes, Puerto Rican style",5.08,16.36,3.871,13.07,1.7,63.37,5,16,1.47,13.6,0.085,0.067,1.367,0.253,0.31,23.3,15.7,60,20,466,359,0.103,1,0.76
Liver dumpling,Liver dumpling,23.11,15.48,4.247,12.78,0.7,45.43,6255,48,1.67,40.6,0.211,2.35,12.1,0.71,45.89,329.4,2.7,384,23,716,299,9.301,5.33,3.86
Breaded brains,"Breaded brains, Puerto Rican style",10.14,14.72,5.017,17.35,0.5,55.96,23,57,2.01,0.4,0.171,0.276,3.013,0.114,5.63,284.9,6.3,249,16,318,217,0.156,2.22,0.94
Stewed,"Stewed, seasoned, ground beef and pork with potatoes, Mexican style",12.84,8.03,0.354,4.19,0.6,73.72,4,17,0.16,1.7,0.141,0.132,3.165,0.257,0.67,35.2,5.8,134,19,193,305,0.075,1.16,2.13
Beef,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",6.93,5.15,1.534,13.46,1.8,72.98,107,14,0.76,17.7,0.081,0.054,1.841,0.257,0.3,31.6,9.4,68,18,313,280,0.126,0.78,1.16
Beef,"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",6.97,5.1,1.512,14.97,1.7,71.53,4,12,0.49,10.1,0.079,0.058,1.939,0.251,0.3,32.9,5.3,71,21,305,287,0.125,0.78,1.19
Corned beef,"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",4.76,6,1.188,13.73,1.8,74.1,108,15,0.6,16.7,0.074,0.056,1.445,0.23,0.3,23.5,9.6,56,17,318,264,0.143,0.66,1.07
Corned beef,"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",4.84,5.38,0.922,15.35,1.7,73.07,4,12,0.26,8.3,0.072,0.061,1.553,0.224,0.3,24.9,5.4,60,20,312,273,0.142,0.67,1.1
Beef stew with potatoes and vegetables including carrots,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.23,3.98,0.363,8.24,1.2,81.27,41,14,0.29,6.1,0.082,0.06,1.342,0.124,0.43,20.3,3.3,57,12,304,206,0.11,1.75,1.19
Beef stew with potatoes and vegetables excluding carrots,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",6.64,2.36,0.527,8.48,1.3,81.43,5,15,0.27,5.1,0.094,0.068,1.676,0.168,0.38,27.2,6.5,77,16,217,246,0.077,0.97,1.51
Beef stew with potatoes and vegetables including carrots,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",6.22,2.21,0.494,8.58,1.4,81.93,75,15,0.27,5.9,0.055,0.065,1.604,0.162,0.36,25.8,5.6,74,16,201,247,0.073,0.89,1.43
Beef stew with potatoes and vegetables excluding carrots,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",6.77,2.41,0.534,8.46,1.2,81.28,3,13,0.23,5.1,0.055,0.066,1.672,0.165,0.4,27.5,5.7,78,16,215,239,0.075,0.95,1.55
Shepherd's pie with beef,Shepherd's pie with beef,6.35,3.15,0.662,14.1,1.4,75.18,25,16,0.39,5,0.078,0.055,1.753,0.242,0.25,26.5,6.7,66,18,248,294,0.146,0.76,1.12
Beef,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",5.23,7.16,2.346,11.17,1.4,75.15,78,13,0.9,16.2,0.065,0.053,1.414,0.194,0.22,24,6.9,55,14,302,215,0.097,0.59,0.87
Beef,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",5.3,6.34,2.006,12.36,1.3,74.69,3,11,0.61,9.8,0.064,0.057,1.497,0.191,0.22,25.1,3.9,57,16,312,221,0.097,0.6,0.9
Beef,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",5.28,7.05,2.62,11.13,1.4,75.22,77,23,0.88,19.2,0.062,0.052,1.336,0.182,0.25,25.2,6.4,60,14,307,217,0.091,0.57,0.85
Beef,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",5.33,6.68,2.464,12.2,1.3,74.52,8,21,0.66,13.7,0.061,0.055,1.408,0.179,0.25,26.1,3.6,62,16,303,223,0.09,0.57,0.87
Beef,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.33,6.96,2.441,11.13,1.7,75.1,83,14,1.29,17.3,0.065,0.056,1.591,0.212,0.22,25.5,8.7,56,17,310,280,0.121,0.82,0.9
Beef,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",5.39,6.56,2.273,12.28,1.6,74.34,8,12,1.05,11.3,0.063,0.059,1.669,0.208,0.22,26.6,5.7,59,19,305,286,0.121,0.82,0.92
Beef,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",8.14,5.43,0.487,11.82,1.4,73,104,96,0.3,10.7,0.074,0.108,1.467,0.21,0.33,25.6,7.4,115,19,304,253,0.102,0.69,1.24
Beef,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",8.17,5.43,0.488,12.97,1.3,71.84,25,94,0.1,5,0.072,0.111,1.541,0.205,0.33,26.6,4.2,117,21,305,259,0.101,0.69,1.26
Beef,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",11.77,8.83,2.487,6.08,1.1,72.1,93,22,1.02,29.4,0.06,0.09,2.317,0.244,0.59,46.6,11,96,18,245,241,0.07,1.22,1.96
Beef,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",11.69,8.81,2.488,5.86,1,72.45,6,18,0.91,21.1,0.06,0.099,2.503,0.246,0.59,46.4,10.4,94,18,236,231,0.099,1.3,1.96
Beef,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",8.71,5.19,1.362,16.71,1.5,68.02,112,17,0.72,15.1,0.197,0.125,2.322,0.126,0.36,39.5,5.1,90,19,317,109,0.086,1.48,1.4
Beef,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",8.78,4.91,1.243,18.29,1.4,66.73,7,14,0.42,7.2,0.195,0.13,2.428,0.12,0.36,40.9,0.9,94,22,300,116,0.085,1.48,1.44
Beef chow mein or chop suey with noodles,Beef chow mein or chop suey with noodles,10.78,4.89,1.066,11.17,1.5,71.85,9,19,0.48,12.3,0.104,0.19,3.171,0.281,0.58,33.5,4.2,108,12,328,204,0.051,1.87,1.52
Beef,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",10.34,7.59,2.133,7.72,1.2,73.27,119,23,0.96,30.6,0.051,0.083,1.932,0.2,0.5,40.2,12.7,86,15,216,203,0.054,1.08,1.72
Beef,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",10.32,7.64,2.155,7.49,1,73.52,8,18,0.83,24.5,0.051,0.089,2.097,0.202,0.51,39.8,11.8,83,15,207,188,0.082,1.19,1.73
Beef,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",6.74,5.06,1.512,13.74,1.5,73.07,88,16,1.05,13.3,0.151,0.11,1.976,0.119,0.27,31.8,5.6,74,18,310,159,0.094,1.35,1.1
Beef,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",6.77,5.07,1.513,14.86,1.4,71.95,11,14,0.85,7.6,0.15,0.113,2.049,0.114,0.27,32.7,2.5,76,20,306,164,0.093,1.35,1.12
Beef,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",6.6,5.05,1.662,13.58,1.2,73.53,82,25,0.62,15.3,0.143,0.102,1.692,0.095,0.3,31.1,3.5,76,15,303,104,0.065,1.06,1.03
Beef,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",6.63,5.01,1.646,14.63,1.1,72.5,10,23,0.43,10,0.141,0.104,1.76,0.091,0.3,32,0.6,79,17,310,108,0.064,1.06,1.05
Beef,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",6.65,5.04,1.321,13.81,1.1,73.28,83,15,0.62,12,0.152,0.107,1.799,0.1,0.27,30.3,3.8,72,15,305,92,0.069,1.12,1.06
Beef,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",6.68,5.05,1.322,14.94,1,72.14,6,13,0.42,6.3,0.151,0.11,1.872,0.095,0.27,31.3,0.7,75,17,305,97,0.068,1.12,1.08
Beef,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",7.54,4.86,1.387,18.38,1,67.9,107,16,0.73,15.9,0.12,0.051,1.946,0.153,0.31,25.1,5.1,70,14,312,106,0.068,1.31,1.3
Beef,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",7.62,4.29,1.149,20,0.9,66.76,4,13,0.4,7.7,0.118,0.055,2.054,0.147,0.31,26.6,0.9,74,16,333,113,0.068,1.32,1.34
Beef,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.85,5.4,1.774,14.9,1.1,72.5,84,15,1.12,14.5,0.094,0.055,1.69,0.138,0.22,21.1,5.6,58,14,306,156,0.08,1.22,1.01
Beef,"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.91,4.99,1.601,16.08,1,71.72,9,13,0.88,8.5,0.093,0.058,1.769,0.134,0.23,22.1,2.5,61,16,302,162,0.08,1.22,1.04
Stuffed cabbage rolls with beef and rice,Stuffed cabbage rolls with beef and rice,8.41,5,0.255,8.63,1.3,76.51,18,28,0.52,26.1,0.056,0.1,1.907,0.186,0.75,37.1,12.4,82,16,343,242,0.07,1.24,1.89
Stuffed grape leaves with beef and rice,Stuffed grape leaves with beef and rice,7.83,18.37,1.989,11.32,3.1,60.69,337,99,2.28,70.2,0.062,0.144,2.24,0.19,0.52,22.7,9.8,92,36,322,219,0.187,1.87,1.73
Beef,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",5.78,5.21,1.84,14.69,0.9,73.09,79,24,0.67,16.3,0.09,0.05,1.43,0.114,0.26,21.1,3.5,62,11,311,101,0.052,0.94,0.95
Beef,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",5.81,5.22,1.841,15.73,0.8,72.06,8,22,0.49,11.1,0.088,0.053,1.497,0.109,0.26,22,0.6,65,13,306,106,0.052,0.94,0.97
Beef,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",8.58,5.51,0.502,15.54,0.8,68.89,104,97,0.31,9.7,0.104,0.105,1.542,0.129,0.33,20.6,4,116,16,303,120,0.057,1.09,1.34
Beef,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",8.18,5.24,0.478,15.85,0.7,69.32,24,90,0.11,3.8,0.097,0.103,1.535,0.118,0.31,20.5,0.8,113,17,302,119,0.054,1.04,1.29
Beef,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",5.77,5.18,1.499,15.01,0.8,72.85,80,14,0.67,13,0.095,0.052,1.516,0.12,0.23,19.6,3.7,57,11,307,90,0.056,1,0.98
Beef,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",5.8,5.18,1.5,16.13,0.7,71.71,3,12,0.47,7.4,0.093,0.055,1.588,0.115,0.23,20.5,0.7,59,13,314,95,0.055,1,1
Beef,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",10.59,7.71,2.172,8.03,1.1,72.54,121,24,0.98,31,0.072,0.086,2.152,0.215,0.51,40.8,12.9,90,17,217,211,0.058,1.24,1.77
Beef,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",10.79,7.96,2.248,7.8,0.8,72.37,7,18,0.85,19.9,0.072,0.092,2.368,0.221,0.53,41.3,11.8,88,17,212,192,0.087,1.35,1.82
Beef pot pie,Beef pot pie,7.99,13.5,3.277,17.09,1.2,59.68,86,11,0.93,10.9,0.16,0.14,2.052,0.12,0.57,24.8,3.4,82,15,396,167,0.073,1.55,1.11
Beef,"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",6.09,6.29,1.748,11.59,0.9,74.57,86,72,0.71,13.5,0.097,0.109,1.458,0.09,0.28,21.6,3.8,78,10,306,103,0.043,1.06,0.89
Beef,"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",6.13,6.09,1.661,12.75,0.8,73.61,9,70,0.49,7.6,0.096,0.112,1.534,0.085,0.28,22.6,0.7,81,12,301,109,0.042,1.06,0.92
Stuffed green pepper,"Stuffed green pepper, Puerto Rican style",8.63,7.23,0.559,15.56,2.1,66.08,17,45,0.76,6.5,0.163,0.141,2.75,0.213,0.58,24.9,37.4,98,23,634,315,0.135,1.91,1.75
Ham pot pie,Ham pot pie,7.99,14.16,3.822,18.48,1.3,57.34,48,13,0.9,9.7,0.243,0.158,2.771,0.131,0.13,26.8,3.9,97,15,622,186,0.081,1.38,0.78
Ham or pork,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",8.42,4.91,1.266,18.31,1.4,67.05,8,16,0.36,6.8,0.367,0.16,2.527,0.147,0.19,37.6,1,104,23,313,147,0.083,1.23,0.96
Ham or pork,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",8.35,5.19,1.386,16.74,1.5,68.4,112,19,0.67,14.7,0.368,0.156,2.422,0.153,0.19,36.3,5.2,100,21,302,140,0.084,1.22,0.92
Ham or pork,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",9.18,6.42,0.774,15.32,1.1,67.61,28,97,0.14,3.7,0.289,0.187,1.963,0.123,0.24,29.8,0.9,141,23,301,150,0.068,1.02,1.07
Pork,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",6.55,5.43,1.675,13.44,1.8,73.1,107,16,0.74,17.6,0.249,0.084,1.933,0.283,0.13,28.3,9.5,78,20,316,310,0.123,0.52,0.69
Ham or pork,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",6.48,5.02,1.511,13.75,1.5,73.36,88,18,1,12.9,0.278,0.132,2.049,0.139,0.14,29.4,5.7,81,19,314,182,0.092,1.16,0.74
Sausage,"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",5.26,5.69,1.385,15.34,1.4,72.13,15,15,0.71,5.3,0.178,0.117,2.191,0.088,0.17,26,2.6,72,20,381,180,0.095,1.19,0.76
Sausage,"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.22,5.69,1.384,14.19,1.5,73.27,94,17,0.91,11,0.18,0.114,2.117,0.093,0.17,25,5.7,69,18,388,174,0.096,1.19,0.74
Pork,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.06,7.07,2.497,11.27,1.7,75.14,82,17,1.22,18.6,0.188,0.081,1.676,0.234,0.09,23.4,12.1,65,19,307,318,0.121,0.64,0.57
Pork,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",5.12,6.64,2.325,12.28,1.6,74.54,9,14,1.02,11.1,0.186,0.081,1.738,0.228,0.1,24.2,5.8,66,20,301,308,0.119,0.63,0.58
Sausage,"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3.73,7.53,2.117,11.61,1.4,75.66,83,14,0.72,13.8,0.091,0.056,1.546,0.171,0.13,17.3,7,50,14,357,231,0.099,0.43,0.52
